Generation,FamilyID,M2BW_PD00,SurRate_PD00,gAnimalEBV_PD00,sAnimalEBV_PD00,gStdAnimalEBV_PD00,sStdAnimalEBV_PD00,gStdAnimalEBV,sStdAnimalEBV,SelIndex,FamilyClass,SireID,DamID,EnvLabel,TankID,M2Age2,M1BW,M2BW,ADG,M2BL,gAnimalEBV,SurRate,sAnimalEBV,sReSurRate,Inbreeding,M2BWAllEnvs
G02,MRYGY18G0203032,42.59909091,0.73430303,9.081681818,0.1602169,0.506456079,0.503842416,0.506456079,0.503842416,93.21829201,NP,MRYGY17G010D601,MRYGY17G010F572,PD00,P11,152,1.33,40.40175439,0.415789474,11.41315789,8.977039474,0.76,0.1602169,0.532216833,0,42.59909091
G02,MRYGY18G0203041,50.74761905,0.631428571,10.24018889,0.068106677,0.508059741,0.50017657,0.508059741,0.50017657,93.34629726,NP,MRYGY17G010D613,MRYGY17G010B057,PD00,P10,171,1.35,52.99666667,0.469555556,12.27222222,10.27279778,0.6,0.068106677,0.495505363,0,50.74761905
G02,MRYGY18G0203041,50.74761905,0.631428571,10.24018889,0.068106677,0.508059741,0.50017657,0.508059741,0.50017657,93.34629726,NP,MRYGY17G010D613,MRYGY17G010B057,PD00,P11,157,1.44,48.7030303,0.493030303,12.00909091,10.21054444,0.66,0.068106677,0.495505363,0,50.74761905
G02,MRYGY18G0203051,35.18018433,0.723471582,4.632957986,0.0637076,0.500296834,0.500001489,0.500296834,0.500001489,62.5563474,NP,MRYGY17G010D679,MRYGY17G010E160,PD00,P10,162,1.03,35.28090909,0.320272727,10.91363636,4.567772572,0.733333333,0.0637076,0.493750546,0,35.18018433
G02,MRYGY18G0203051,35.18018433,0.723471582,4.632957986,0.0637076,0.500296834,0.500001489,0.500296834,0.500001489,62.5563474,NP,MRYGY17G010D679,MRYGY17G010E160,PD00,P11,148,1.12,35.07663551,0.365327103,10.89439252,4.699971028,0.713333333,0.0637076,0.493750546,0,35.18018433
G02,MRYGY18G0203052,45.16797753,0.599400749,6.190132584,0.1623625,0.502452828,0.503927804,0.502452828,0.503927804,77.63599345,NP,MRYGY17G010D679,MRYGY17G010C842,PD00,P10,164,1.36,48.96375,0.444625,11.9,6.4103775,0.533333333,0.1623625,0.533069936,0,45.16797753
G02,MRYGY18G0203052,45.16797753,0.599400749,6.190132584,0.1623625,0.502452828,0.503927804,0.502452828,0.503927804,77.63599345,NP,MRYGY17G010D679,MRYGY17G010C842,PD00,P11,150,1.41,42.06938776,0.437244898,11.49693878,6.010340816,0.653333333,0.1623625,0.533069936,0,45.16797753
G02,MRYGY18G0203071,38.56714976,0.690144928,4.592974468,0.0975398,0.500241478,0.501347984,0.500241478,0.501347984,64.60580444,NP,MRYGY17G010D695,MRYGY17G010B329,PD00,P10,169,1.07,38.61714286,0.340952381,11.09238095,4.33627157,0.7,0.0975398,0.507246986,0.0625,38.56714976
G02,MRYGY18G0203071,38.56714976,0.690144928,4.592974468,0.0975398,0.500241478,0.501347984,0.500241478,0.501347984,64.60580444,NP,MRYGY17G010D695,MRYGY17G010B329,PD00,P11,155,1.24,38.51568627,0.388529412,11.11960784,4.857227451,0.68,0.0975398,0.507246986,0.0625,38.56714976
G02,MRYGY18G0203081,51.12892157,0.680588235,6.150426961,0.1713457,0.502397864,0.504285305,0.502397864,0.504285305,78.02195458,NP,MRYGY17G010F326,MRYGY17G010B470,PD00,P10,180,1.52,53.90707071,0.467676768,12.31717172,6.202569697,0.66,0.1713457,0.536640016,0,51.12892157
